boundary,index,ey_num_of_building,ey_mean_building_sqm,changeos_ratio_of_building,changeos_damaged_building_vs_all_building
"POLYGON ((807010.5000016 2035782.46911, 807010.5000016 2035938.71911, 807166.7500016 2035938.71911, 807166.7500016 2035782.46911, 807010.5000016 2035782.46911))",4807,21.0,232.91980193089032,0.40311431884765625,0.757045252379961
"POLYGON ((805916.7500016 2030157.46911, 805916.7500016 2030313.71911, 806073.0000016 2030313.71911, 806073.0000016 2030157.46911, 805916.7500016 2030157.46911))",6476,19.0,156.2299789702256,0.21133041381835938,0.5996859149082113
"POLYGON ((801698.0000016 2033907.46911, 801698.0000016 2034063.71911, 801854.2500016 2034063.71911, 801854.2500016 2033907.46911, 801698.0000016 2033907.46911))",4386,11.0,631.0922080280202,0.24597549438476562,0.5064437586265722
"POLYGON ((796854.2500016 2033438.71911, 796854.2500016 2033594.96911, 797010.5000016 2033594.96911, 797010.5000016 2033438.71911, 796854.2500016 2033438.71911))",2945,22.0,274.02491713425474,0.18369674682617188,0.0
"POLYGON ((796854.2500016 2043438.71911, 796854.2500016 2043594.96911, 797010.5000016 2043594.96911, 797010.5000016 2043438.71911, 796854.2500016 2043438.71911))",4364,17.0,162.243876174091,0.16312789916992188,0.0
"POLYGON ((807635.5000016 2033126.21911, 807635.5000016 2033282.46911, 807791.7500016 2033282.46911, 807791.7500016 2033126.21911, 807635.5000016 2033126.21911))",6066,19.0,273.57498784295694,0.3179969787597656,0.06177948920958242
"POLYGON ((801698.0000016 2035938.71911, 801698.0000016 2036094.96911, 801854.2500016 2036094.96911, 801854.2500016 2035938.71911, 801698.0000016 2035938.71911))",4590,35.0,257.50467715268616,0.40610504150390625,0.0
"POLYGON ((801385.5000016 2036094.96911, 801385.5000016 2036251.21911, 801541.7500016 2036251.21911, 801541.7500016 2036094.96911, 801385.5000016 2036094.96911))",2594,5.0,1352.5246693193908,0.24411773681640625,0.0
"POLYGON ((801698.0000016 2040469.96911, 801698.0000016 2040626.21911, 801854.2500016 2040626.21911, 801854.2500016 2040469.96911, 801698.0000016 2040469.96911))",3831,42.0,158.85489205180178,0.3122444152832031,0.05655260039338815
"POLYGON ((800760.5000016 2031563.71911, 800760.5000016 2031719.96911, 800916.7500016 2031719.96911, 800916.7500016 2031563.71911, 800760.5000016 2031563.71911))",8083,15.0,202.24678177984805,0.15250396728515625,0.15983791085096805
"POLYGON ((798260.5000016 2033751.21911, 798260.5000016 2033907.46911, 798416.7500016 2033907.46911, 798416.7500016 2033751.21911, 798260.5000016 2033751.21911))",7771,16.0,363.7929779290865,0.22873687744140625,0.006587505420099397
"POLYGON ((798573.0000016 2035469.96911, 798573.0000016 2035626.21911, 798729.2500016 2035626.21911, 798729.2500016 2035469.96911, 798573.0000016 2035469.96911))",8466,44.0,198.5745393898145,0.2652931213378906,0.0
"POLYGON ((802791.7500016 2033751.21911, 802791.7500016 2033907.46911, 802948.0000016 2033907.46911, 802948.0000016 2033751.21911, 802791.7500016 2033751.21911))",8129,16.0,169.5757064348693,0.10668563842773438,0.0
"POLYGON ((802479.2500016 2042032.46911, 802479.2500016 2042188.71911, 802635.5000016 2042188.71911, 802635.5000016 2042032.46911, 802479.2500016 2042032.46911))",8198,11.0,284.9041823547749,0.19565582275390625,0.5144862546305322
"POLYGON ((797010.5000016 2039532.46911, 797010.5000016 2039688.71911, 797166.7500016 2039688.71911, 797166.7500016 2039532.46911, 797010.5000016 2039532.46911))",8255,16.0,178.2078298844281,0.23775100708007812,0.0
"POLYGON ((802948.0000016 2041407.46911, 802948.0000016 2041563.71911, 803104.2500016 2041563.71911, 803104.2500016 2041407.46911, 802948.0000016 2041407.46911))",7841,21.0,153.95579175093607,0.3413887023925781,0.0
"POLYGON ((806541.7500016 2034532.46911, 806541.7500016 2034688.71911, 806698.0000016 2034688.71911, 806698.0000016 2034532.46911, 806541.7500016 2034532.46911))",10159,24.0,187.4050005707838,0.2758674621582031,0.0
"POLYGON ((807479.2500016 2035469.96911, 807479.2500016 2035626.21911, 807635.5000016 2035626.21911, 807635.5000016 2035469.96911, 807479.2500016 2035469.96911))",458,9.0,994.7722092313395,0.20373153686523438,0.510120396202745
"POLYGON ((796698.0000016 2031719.96911, 796698.0000016 2031876.21911, 796854.2500016 2031876.21911, 796854.2500016 2031719.96911, 796698.0000016 2031719.96911))",7715,44.0,189.92621538565555,0.3008384704589844,0.0
"POLYGON ((805291.7500016 2032501.21911, 805291.7500016 2032657.46911, 805448.0000016 2032657.46911, 805448.0000016 2032501.21911, 805291.7500016 2032501.21911))",7937,6.0,358.575978477007,0.11542129516601562,0.0
"POLYGON ((801698.0000016 2033594.96911, 801698.0000016 2033751.21911, 801854.2500016 2033751.21911, 801854.2500016 2033594.96911, 801698.0000016 2033594.96911))",1043,10.0,1787.293928471323,0.15891265869140625,0.9450285659417159
"POLYGON ((799041.7500016 2034532.46911, 799041.7500016 2034688.71911, 799198.0000016 2034688.71911, 799198.0000016 2034532.46911, 799041.7500016 2034532.46911))",8919,35.0,228.23619006838842,0.35431671142578125,0.0
"POLYGON ((807948.0000016 2032032.46911, 807948.0000016 2032188.71911, 808104.2500016 2032188.71911, 808104.2500016 2032032.46911, 807948.0000016 2032032.46911))",6218,22.0,165.81989774159962,0.24018096923828125,0.24664083097741496
"POLYGON ((798104.2500016 2040782.46911, 798104.2500016 2040938.71911, 798260.5000016 2040938.71911, 798260.5000016 2040782.46911, 798104.2500016 2040782.46911))",3901,22.0,389.55521385787983,0.43157958984375,0.3287812897751379
"POLYGON ((805448.0000016 2031563.71911, 805448.0000016 2031719.96911, 805604.2500016 2031719.96911, 805604.2500016 2031563.71911, 805448.0000016 2031563.71911))",4757,9.0,636.8393484103759,0.25347900390625,0.0
"POLYGON ((805291.7500016 2038751.21911, 805291.7500016 2038907.46911, 805448.0000016 2038907.46911, 805448.0000016 2038751.21911, 805291.7500016 2038751.21911))",1545,5.0,2502.1533810627725,0.2930259704589844,0.0
"POLYGON ((800291.7500016 2036719.96911, 800291.7500016 2036876.21911, 800448.0000016 2036876.21911, 800448.0000016 2036719.96911, 800291.7500016 2036719.96911))",2632,20.0,1355.4472093196314,0.2550697326660156,0.18553802437747702
"POLYGON ((804510.5000016 2036407.46911, 804510.5000016 2036563.71911, 804666.7500016 2036563.71911, 804666.7500016 2036407.46911, 804510.5000016 2036407.46911))",7935,23.0,357.5456596788257,0.41405487060546875,0.0
"POLYGON ((798573.0000016 2032344.96911, 798573.0000016 2032501.21911, 798729.2500016 2032501.21911, 798729.2500016 2032344.96911, 798573.0000016 2032344.96911))",8034,43.0,181.30742810900074,0.4618034362792969,0.0
"POLYGON ((799979.2500016 2036719.96911, 799979.2500016 2036876.21911, 800135.5000016 2036876.21911, 800135.5000016 2036719.96911, 799979.2500016 2036719.96911))",2729,18.0,396.87262561067945,0.13975143432617188,0.0
"POLYGON ((805916.7500016 2032969.96911, 805916.7500016 2033126.21911, 806073.0000016 2033126.21911, 806073.0000016 2032969.96911, 805916.7500016 2032969.96911))",9829,15.0,172.3842728155181,0.17374801635742188,0.8782137133071333
"POLYGON ((800448.0000016 2031251.21911, 800448.0000016 2031407.46911, 800604.2500016 2031407.46911, 800604.2500016 2031251.21911, 800448.0000016 2031251.21911))",10381,40.0,190.94021536281133,0.39032745361328125,0.0
"POLYGON ((799354.2500016 2040469.96911, 799354.2500016 2040626.21911, 799510.5000016 2040626.21911, 799510.5000016 2040469.96911, 799354.2500016 2040469.96911))",10354,37.0,181.28952453680384,0.405059814453125,0.0
"POLYGON ((805135.5000016 2035157.46911, 805135.5000016 2035313.71911, 805291.7500016 2035313.71911, 805291.7500016 2035157.46911, 805135.5000016 2035157.46911))",2457,12.0,317.6836083624956,0.3329925537109375,0.17313155844750952
"POLYGON ((798729.2500016 2040938.71911, 798729.2500016 2041094.96911, 798885.5000016 2041094.96911, 798885.5000016 2040938.71911, 798729.2500016 2040938.71911))",137,35.0,195.60313336084613,0.3695869445800781,0.20284873819476698
"POLYGON ((802010.5000016 2038282.46911, 802010.5000016 2038438.71911, 802166.7500016 2038438.71911, 802166.7500016 2038282.46911, 802010.5000016 2038282.46911))",2382,7.0,1533.1725743701284,0.23442840576171875,0.0
"POLYGON ((801229.2500016 2031251.21911, 801229.2500016 2031407.46911, 801385.5000016 2031407.46911, 801385.5000016 2031251.21911, 801229.2500016 2031251.21911))",678,13.0,204.98208845512252,0.20264816284179688,0.2355476912071984
"POLYGON ((799510.5000016 2034688.71911, 799510.5000016 2034844.96911, 799666.7500016 2034844.96911, 799666.7500016 2034688.71911, 799510.5000016 2034688.71911))",7205,36.0,214.4249248452415,0.269500732421875,0.020609217529158647
"POLYGON ((802948.0000016 2031563.71911, 802948.0000016 2031719.96911, 803104.2500016 2031719.96911, 803104.2500016 2031563.71911, 802948.0000016 2031563.71911))",6265,8.0,235.35946050085948,0.18876266479492188,0.0
"POLYGON ((807479.2500016 2038438.71911, 807479.2500016 2038594.96911, 807635.5000016 2038594.96911, 807635.5000016 2038438.71911, 807479.2500016 2038438.71911))",7167,25.0,269.85543777012214,0.21126937866210938,0.053843237094415256
"POLYGON ((797791.7500016 2033751.21911, 797791.7500016 2033907.46911, 797948.0000016 2033907.46911, 797948.0000016 2033751.21911, 797791.7500016 2033751.21911))",6652,30.0,278.15016132943686,0.37804412841796875,0.19883554317773608
"POLYGON ((804979.2500016 2036251.21911, 804979.2500016 2036407.46911, 805135.5000016 2036407.46911, 805135.5000016 2036251.21911, 804979.2500016 2036251.21911))",531,12.0,332.84684580262183,0.20056915283203125,0.0
"POLYGON ((805135.5000016 2039844.96911, 805135.5000016 2040001.21911, 805291.7500016 2040001.21911, 805291.7500016 2039844.96911, 805135.5000016 2039844.96911))",3217,7.0,129.15968624960715,0.15520477294921875,0.25913090497959984
"POLYGON ((801073.0000016 2033907.46911, 801073.0000016 2034063.71911, 801229.2500016 2034063.71911, 801229.2500016 2033907.46911, 801073.0000016 2033907.46911))",5610,54.0,198.3926919979671,0.3973846435546875,0.0
